Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
26,tt2543164,2017-02-06,2017-02-06,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Mystery, Sci-Fi, Thriller",481908,2016-09-01,Denis Villeneuve
27,tt2582782,2017-02-06,2017-02-06,,Hell or High Water,https://www.imdb.com/title/tt2582782/,movie,7.6,102,2016,"Action, Crime, Drama, Thriller, Western",164249,2016-05-16,David Mackenzie
28,tt4846340,2017-02-06,2017-02-06,,Hidden Figures,https://www.imdb.com/title/tt4846340/,movie,7.8,127,2016,"Biography, Drama, History",160017,2016-12-25,Theodore Melfi
29,tt3553976,2017-02-06,2017-02-06,,Captain Fantastic,https://www.imdb.com/title/tt3553976/,movie,7.9,118,2016,"Comedy, Drama",149445,2016-01-23,Matt Ross
30,tt3716530,2017-02-06,2017-02-06,,Elle,https://www.imdb.com/title/tt3716530/,movie,7.2,130,2016,"Crime, Drama, Thriller",51984,2016-05-21,Paul Verhoeven
31,tt1619029,2017-02-06,2017-02-06,,Jackie,https://www.imdb.com/title/tt1619029/,movie,6.7,100,2016,"Biography, Drama, History",63046,2016-09-07,Pablo Larraín
32,tt4136084,2017-02-06,2017-02-06,,Florence Foster Jenkins,https://www.imdb.com/title/tt4136084/,movie,6.8,111,2016,"Biography, Comedy, Drama, Music",42881,2016-04-23,Stephen Frears
33,tt4550098,2017-02-06,2017-02-06,,Nocturnal Animals,https://www.imdb.com/title/tt4550098/,movie,7.5,116,2016,"Crime, Drama, Romance, Thriller",191950,2016-09-02,Tom Ford
34,tt2948356,2017-02-06,2017-02-06,,Zootopia,https://www.imdb.com/title/tt2948356/,movie,8,108,2016,"Animation, Adventure, Comedy, Crime, Family, Mystery",361849,2016-02-11,"Rich Moore, Jared Bush, Byron Howard"
35,tt4080728,2017-02-06,2017-02-06,,En man som heter Ove,https://www.imdb.com/title/tt4080728/,movie,7.7,116,2015,"Comedy, Drama, Romance",35427,2015-12-13,Hannes Holm
36,tt0475290,2017-02-06,2017-02-06,,"Hail, Caesar!",https://www.imdb.com/title/tt0475290/,movie,6.3,106,2016,"Comedy, Mystery",107150,2016-02-01,"Joel Coen, Ethan Coen"
37,tt3263904,2017-02-06,2017-02-06,,Sully,https://www.imdb.com/title/tt3263904/,movie,7.5,96,2016,"Biography, Drama",189208,2016-09-02,Clint Eastwood
38,tt1211837,2017-02-06,2017-02-06,,Doctor Strange,https://www.imdb.com/title/tt1211837/,movie,7.5,115,2016,"Action, Adventure, Fantasy, Sci-Fi",462187,2016-10-13,Scott Derrickson
39,tt3040964,2017-02-06,2017-02-06,,The Jungle Book,https://www.imdb.com/title/tt3040964/,movie,7.4,106,2016,"Adventure, Drama, Family, Fantasy",232571,2016-04-04,Jon Favreau
40,tt1355644,2017-02-06,2017-02-06,,Passengers,https://www.imdb.com/title/tt1355644/,movie,7,116,2016,"Drama, Romance, Sci-Fi, Thriller",291685,2016-12-14,Morten Tyldum
41,tt4669986,2017-02-11,2017-02-11,,Loving,https://www.imdb.com/title/tt4669986/,movie,7,123,2016,"Biography, Drama, Romance",26546,2016-05-16,Jeff Nichols
42,tt3464902,2017-02-11,2017-02-11,,The Lobster,https://www.imdb.com/title/tt3464902/,movie,7.1,119,2015,"Comedy, Drama, Romance, Sci-Fi, Thriller",163699,2015-05-15,Yorgos Lanthimos
43,tt0490215,2017-02-20,2017-02-20,,Silence,https://www.imdb.com/title/tt0490215/,movie,7.2,161,2016,"Adventure, Drama, History",80625,2016-11-29,Martin Scorsese
44,tt4385888,2017-02-26,2017-02-26,,20th Century Women,https://www.imdb.com/title/tt4385888/,movie,7.3,119,2016,"Comedy, Drama",29898,2016-10-08,Mike Mills
